tcp_variant,txpackets,rxpackets,throughput,meandelay,packetloss
ns3::TcpWestwoodPlus,5,4956,4956,0.20943,0.000305885,0
ns3::TcpWestwoodPlus,6,3,3,9.6e-05,0.000635362,0
ns3::TcpWestwoodPlus,7,1948,1942,0.911914,0.150299,0.308008
ns3::TcpWestwoodPlus,8,2045,2041,0.955923,0.12378,0.195599
ns3::TcpWestwoodPlus,1,9736,9736,4.40502,0.140773,0
ns3::TcpWestwoodPlus,2,3,3,0.0001344,0.780773,0
ns3::TcpWestwoodPlus,3,382,381,0.0164128,0.000739307,0.26178
ns3::TcpWestwoodPlus,4,379,378,0.019368,0.000709827,0.263852
ns3::TcpWestwoodPlus,5,4872,4872,0.202678,0.000250917,0
ns3::TcpWestwoodPlus,6,3,3,9.6e-05,0.042377,0
ns3::TcpWestwoodPlus,7,757,757,0.909694,0.226846,0
ns3::TcpWestwoodPlus,8,736,736,0.878191,0.228175,0
ns3::TcpWestwoodPlus,1,9736,9736,4.40502,0.114947,0
ns3::TcpWestwoodPlus,2,3,3,0.0001344,0.366628,0
ns3::TcpWestwoodPlus,3,363,362,0.0153424,0.000742977,0.275482
ns3::TcpWestwoodPlus,4,406,405,0.0241312,0.000514718,0.246305
ns3::TcpWestwoodPlus,5,4869,4869,0.202554,0.000213387,0
ns3::TcpWestwoodPlus,6,3,3,9.6e-05,0.00123703,0
ns3::TcpWestwoodPlus,7,720,720,0.866146,0.182815,0
ns3::TcpWestwoodPlus,8,774,774,0.910422,0.171043,0
ns3::TcpWestwoodPlus,1,9736,9736,4.40502,0.100523,0
ns3::TcpWestwoodPlus,2,3,3,0.0001344,0.363021,0
ns3::TcpWestwoodPlus,3,409,408,0.025096,0.000413446,0.244499
ns3::TcpWestwoodPlus,4,353,352,0.0149264,0.000464594,0.283286
ns3::TcpWestwoodPlus,5,4869,4869,0.202554,0.000198377,0
ns3::TcpWestwoodPlus,6,3,3,9.6e-05,0.000269028,0
ns3::TcpWestwoodPlus,7,778,778,0.919341,0.138246,0
ns3::TcpWestwoodPlus,8,699,699,0.841115,0.159592,0
ns3::TcpWestwoodPlus,1,9736,9736,4.40502,0.0943231,0
ns3::TcpWestwoodPlus,2,3,3,0.0001344,0.361219,0
ns3::TcpWestwoodPlus,3,358,357,0.0151344,0.000435745,0.27933
ns3::TcpWestwoodPlus,4,361,360,0.0152592,0.000493483,0.277008
ns3::TcpWestwoodPlus,5,4872,4872,0.202678,0.000200132,0
ns3::TcpWestwoodPlus,6,3,3,9.6e-05,0.00337982,0
ns3::TcpWestwoodPlus,7,710,710,0.854575,0.145717,0
ns3::TcpWestwoodPlus,8,716,716,0.861257,0.147002,0
ns3::TcpNewReno,1,5954,5787,2.65772,0.286913,2.80484
ns3::TcpNewReno,2,3,3,0.0001344,0.519996,0
ns3::TcpNewReno,3,381,380,0.0175184,0.00185693,0.262467
ns3::TcpNewReno,4,144,143,0.0073264,0.00390584,0.694444
ns3::TcpNewReno,5,3043,3043,0.131962,0.000860304,0
ns3::TcpNewReno,6,3,3,9.6e-05,0.00239403,0
ns3::TcpNewReno,7,708,677,0.815838,0.298868,4.37853
ns3::TcpNewReno,8,252,217,0.26015,0.362159,13.8889
ns3::TcpNewReno,1,7531,7403,3.39197,0.241609,1.69964
ns3::TcpNewReno,2,3,3,0.0001344,0.473066,0
ns3::TcpNewReno,3,437,436,0.020424,0.00158256,0.228833
ns3::TcpNewReno,4,428,427,0.020392,0.00302788,0.233645
ns3::TcpNewReno,5,3873,3873,0.164256,0.000604453,0
ns3::TcpNewReno,6,3,3,9.6e-05,0.000419695,0
ns3::TcpNewReno,7,759,747,0.900102,0.331221,1.58103
ns3::TcpNewReno,8,759,737,0.88599,0.326943,2.89855
ns3::TcpNewReno,1,9736,9736,4.40502,0.215913,0
ns3::TcpNewReno,2,3,3,0.0001344,0.448439,0
ns3::TcpNewReno,3,366,365,0.0160272,0.000853789,0.273224
ns3::TcpNewReno,4,343,342,0.0145104,0.00102183,0.291545
ns3::TcpNewReno,5,4869,4869,0.202554,0.000330795,0
ns3::TcpNewReno,6,3,3,9.6e-05,0.00618562,0
ns3::TcpNewReno,7,721,721,0.866108,0.36835,0
ns3::TcpNewReno,8,675,675,0.811872,0.3749,0
ns3::TcpNewReno,1,9736,9736,4.40502,0.166352,0
ns3::TcpNewReno,2,3,3,0.0001344,0.378629,0
ns3::TcpNewReno,3,373,372,0.0196784,0.000741944,0.268097
ns3::TcpNewReno,4,361,360,0.0158192,0.000787351,0.277008
ns3::TcpNewReno,5,4869,4869,0.202554,0.000327302,0
ns3::TcpNewReno,6,3,3,9.6e-05,0.000632362,0
ns3::TcpNewReno,7,716,716,0.852173,0.269873,0
ns3::TcpNewReno,8,711,711,0.855483,0.275378,0
ns3::TcpNewReno,1,9736,9736,4.40502,0.140279,0
ns3::TcpNewReno,2,3,3,0.0001344,0.372632,0
ns3::TcpNewReno,3,720,719,0.0304736,0.000462429,0.138889
ns3::TcpNewReno,4,365,364,0.0154256,0.000796341,0.273973
ns3::TcpNewReno,5,4869,4869,0.202554,0.000270041,0
ns3::TcpNewReno,6,3,3,9.6e-05,0.00397696,0
ns3::TcpNewReno,7,1430,1430,1.72186,0.14445,0
ns3::TcpNewReno,8,723,723,0.869546,0.230751,0
ns3::TcpNewReno,1,9736,9736,4.40502,0.115041,0
ns3::TcpNewReno,2,3,3,0.0001344,0.365474,0
ns3::TcpNewReno,3,366,365,0.0154672,0.000517652,0.273224
ns3::TcpNewReno,4,347,346,0.0146768,0.000634318,0.288184
ns3::TcpNewReno,5,4869,4869,0.202554,0.000226509,0
ns3::TcpNewReno,6,3,3,9.6e-05,0.00396855,0
ns3::TcpNewReno,7,726,726,0.873607,0.183657,0
ns3::TcpNewReno,8,688,688,0.828277,0.186074,0
ns3::TcpNewReno,1,9736,9736,4.40502,0.100758,0
ns3::TcpNewReno,2,3,3,0.0001344,0.362327,0
ns3::TcpNewReno,3,371,370,0.0165152,0.000495908,0.269542
ns3::TcpNewReno,4,367,366,0.0180288,0.000469404,0.27248
ns3::TcpNewReno,5,4869,4869,0.202554,0.000207658,0
ns3::TcpNewReno,6,3,3,9.6e-05,0.000269028,0
ns3::TcpNewReno,7,730,730,0.87573,0.159359,0
ns3::TcpNewReno,8,717,717,0.855323,0.160539,0
ns3::TcpNewReno,1,9815,9811,4.44627,0.0941877,0.0407539
ns3::TcpNewReno,2,3,3,0.0001344,0.361231,0
ns3::TcpNewReno,3,1466,1465,0.0663952,0.000422313,0.0682128
ns3::TcpNewReno,4,1137,1136,0.0517008,0.000786044,0.0879507
ns3::TcpNewReno,5,5085,5085,0.214758,0.000269976,0
ns3::TcpNewReno,6,3,3,9.6e-05,0.00397322,0
ns3::TcpNewReno,7,2573,2567,1.20609,0.116801,0.233191
ns3::TcpNewReno,8,1917,1912,0.898154,0.142842,0.260824
ns3::TcpVegas,1,4379,4350,2.04539,0.104119,0.662252
