ns3::TcpIllinois,20,21,9479,9479,0.434099,0.00761034,0
ns3::TcpIllinois,20,22,4624,4603,0.19639,0.00678203,0.454152
ns3::TcpIllinois,20,23,4769,4759,0.202554,0.00658171,0.209688
ns3::TcpIllinois,20,24,3785,3785,0.161376,0.00663307,0
ns3::TcpIllinois,20,25,6629,6629,0.339402,0.00579705,0
ns3::TcpIllinois,20,26,6703,6703,0.314381,0.00737607,0
ns3::TcpIllinois,20,27,591,589,0.0259584,0.00686006,0.338409
ns3::TcpIllinois,50,1,9301,9233,4.34235,0.0257788,0.731104
ns3::TcpIllinois,50,2,8575,8498,3.9966,0.0289376,0.897959
ns3::TcpIllinois,50,3,4781,4632,2.17736,0.0351523,3.1165
ns3::TcpIllinois,50,4,9436,9323,4.3786,0.0854553,1.19754
ns3::TcpIllinois,50,5,12703,12532,5.88736,0.053928,1.34614
ns3::TcpIllinois,50,6,10831,10609,4.98698,0.0910511,2.04967
ns3::TcpIllinois,50,7,9009,8969,4.21816,0.0548697,0.444
ns3::TcpIllinois,50,8,3,0,0,-nan,100
ns3::TcpIllinois,50,9,8928,8742,4.11019,0.0613465,2.08333
ns3::TcpIllinois,50,10,11401,11107,5.2186,0.0699628,2.57872
ns3::TcpIllinois,50,11,8185,8102,3.81033,0.0386784,1.01405
ns3::TcpIllinois,50,12,10832,10562,4.96238,0.064791,2.49261
ns3::TcpIllinois,50,13,3,0,0,-nan,100
ns3::TcpIllinois,50,14,3889,3804,1.78787,0.0335774,2.18565
ns3::TcpIllinois,50,15,8031,7717,3.62742,0.105364,3.90985
ns3::TcpIllinois,50,16,6242,6204,0.290326,0.00827273,0.608779
ns3::TcpIllinois,50,17,9264,9264,0.449328,0.00843089,0
ns3::TcpIllinois,50,18,7176,7176,0.32824,0.00634756,0
ns3::TcpIllinois,50,19,6469,6469,0.311968,0.00699359,0
ns3::TcpIllinois,50,20,8057,8057,0.385562,0.0076299,0
ns3::TcpIllinois,50,21,7463,7431,0.354688,0.00740003,0.428782
ns3::TcpIllinois,50,22,4772,4772,0.212778,0.00739426,0
ns3::TcpIllinois,50,23,4929,4929,0.20919,0.00581135,0
ns3::TcpIllinois,50,24,4612,4612,0.19752,0.00644063,0
ns3::TcpIllinois,50,25,4725,4708,0.198896,0.00518268,0.359788
ns3::TcpIllinois,50,26,4334,4334,0.183875,0.00821813,0
